Date,Source,POC,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
02/02/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/03/2015,AQS,1,0.1,ppm,1,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/04/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/05/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/06/2015,AQS,1,0.1,ppm,1,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/07/2015,AQS,1,0.9,ppm,10,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/08/2015,AQS,1,1.1,ppm,13,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/09/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/10/2015,AQS,1,0.1,ppm,1,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/11/2015,AQS,1,0.4,ppm,5,CCNY,20,83,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/12/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/13/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/14/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/15/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/16/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/17/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/18/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/19/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/20/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/21/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
