Date,Source,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
02/04/2015,AQS,1,0.007,ppm,6,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/05/2015,AQS,1,0.025,ppm,23,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/06/2015,AQS,1,0.021,ppm,19,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/07/2015,AQS,1,0.008,ppm,7,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/08/2015,AQS,1,0.017,ppm,16,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/09/2015,AQS,1,0.018,ppm,17,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/10/2015,AQS,1,0.025,ppm,23,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/11/2015,AQS,1,0.03,ppm,28,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/12/2015,AQS,1,0.025,ppm,23,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/13/2015,AQS,1,0.029,ppm,27,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/14/2015,AQS,1,0.021,ppm,19,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/15/2015,AQS,1,0.029,ppm,27,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/16/2015,AQS,1,0.029,ppm,27,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/17/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/18/2015,AQS,1,0.023,ppm,21,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/19/2015,AQS,1,0.031,ppm,29,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/20/2015,AQS,1,0.028,ppm,26,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/21/2015,AQS,1,0.018,ppm,17,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/22/2015,AQS,1,0.022,ppm,20,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/23/2015,AQS,1,0.03,ppm,28,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/24/2015,AQS,1,0.018,ppm,17,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/25/2015,AQS,1,0.032,ppm,30,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/26/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/27/2015,AQS,1,0.03,ppm,28,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/28/2015,AQS,1,0.033,ppm,31,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/01/2015,AQS,1,0.015,ppm,14,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/02/2015,AQS,1,0.037,ppm,34,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/03/2015,AQS,1,0.022,ppm,20,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/04/2015,AQS,1,0.012,ppm,11,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/05/2015,AQS,1,0.022,ppm,20,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/06/2015,AQS,1,0.025,ppm,23,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/07/2015,AQS,1,0.028,ppm,26,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/08/2015,AQS,1,0.042,ppm,39,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/09/2015,AQS,1,0.039,ppm,36,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/10/2015,AQS,1,0.009,ppm,8,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/12/2015,AQS,1,0.035,ppm,32,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/13/2015,AQS,1,0.03,ppm,28,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/14/2015,AQS,1,0.021,ppm,19,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/15/2015,AQS,1,0.03,ppm,28,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/16/2015,AQS,1,0.021,ppm,19,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/18/2015,AQS,1,0.033,ppm,31,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/19/2015,AQS,1,0.034,ppm,31,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/20/2015,AQS,1,0.023,ppm,21,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/21/2015,AQS,1,0.029,ppm,27,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
